m_X,m_Y,m_H,sigma
300.0,60.0,123.51685852291614,10.339493635972882
300.0,70.0,123.50461786659453,10.169101196339701
300.0,80.0,123.36335630082279,10.144550256464983
300.0,90.0,122.81284146721421,9.550003902575549
300.0,100.0,122.07116986658956,8.630514629246285
300.0,125.0,121.97868208085265,8.581970668455247
300.0,150.0,122.54150167573971,9.810900970217013
300.0,200.0,0.0,0.0
300.0,250.0,0.0,0.0
300.0,300.0,0.0,0.0
300.0,400.0,0.0,0.0
300.0,500.0,0.0,0.0
300.0,600.0,0.0,0.0
300.0,700.0,0.0,0.0
300.0,800.0,0.0,0.0
300.0,900.0,0.0,0.0
300.0,1000.0,0.0,0.0
300.0,1200.0,0.0,0.0
300.0,1400.0,0.0,0.0
400.0,60.0,125.48576078922149,12.110052165916091
400.0,70.0,125.44753425913513,11.925485363056083
400.0,80.0,125.01477206750477,11.377022612147009
400.0,90.0,124.03203483504113,10.457042360409554
400.0,100.0,123.0386275404523,9.41726695440036
400.0,125.0,122.52755902055425,9.081182749035989
400.0,150.0,124.162269603173,11.062930667744514
400.0,200.0,124.83781086209777,11.842545792925554
400.0,250.0,123.87053115434637,10.98295719635058
400.0,300.0,0.0,0.0
400.0,400.0,0.0,0.0
400.0,500.0,0.0,0.0
400.0,600.0,0.0,0.0
400.0,700.0,0.0,0.0
400.0,800.0,0.0,0.0
400.0,900.0,0.0,0.0
400.0,1000.0,0.0,0.0
400.0,1200.0,0.0,0.0
400.0,1400.0,0.0,0.0
500.0,60.0,126.24779392512352,13.423946345371407
500.0,70.0,126.16392109451903,13.383978182977554
500.0,80.0,125.6217546533577,12.800745661677789
500.0,90.0,124.58207785993432,11.556176031113237
500.0,100.0,123.61513818707515,10.355597779782867
500.0,125.0,0.0,0.0
500.0,150.0,124.87487387707435,12.303252021805388
500.0,200.0,125.53411384389699,13.083012417730638
500.0,250.0,125.58573420786122,12.95339834780619
500.0,300.0,124.97931749379802,12.714865530572832
500.0,400.0,0.0,0.0
500.0,500.0,0.0,0.0
500.0,600.0,0.0,0.0
500.0,700.0,0.0,0.0
500.0,800.0,0.0,0.0
500.0,900.0,0.0,0.0
500.0,1000.0,0.0,0.0
500.0,1200.0,0.0,0.0
500.0,1400.0,0.0,0.0
600.0,60.0,126.69461152933005,13.966198590734285
600.0,70.0,126.5622257654564,13.813757641306378
600.0,80.0,126.00824834254313,13.237126379958383
600.0,90.0,125.08896519587258,11.891772892667033
600.0,100.0,123.92556048658065,10.711434499869174
600.0,125.0,123.35861703263582,9.996186177307173
600.0,150.0,125.63953053867162,12.821414543333264
600.0,200.0,126.28416871189499,13.768525133751657
600.0,250.0,126.15879777879442,13.756020403778802
600.0,300.0,125.93670235292363,13.620104362716098
600.0,400.0,125.40159313724166,13.119101420118085
600.0,500.0,0.0,0.0
600.0,600.0,0.0,0.0
600.0,700.0,0.0,0.0
600.0,800.0,0.0,0.0
600.0,900.0,0.0,0.0
600.0,1000.0,0.0,0.0
