m_X,m_Y,m_H,sigma
300.0,60.0,121.5,12.7
300.0,70.0,121.2,12.8
300.0,80.0,120.7,12.8
300.0,90.0,120.0,12.5
300.0,100.0,119.8,11.4
300.0,125.0,121.0,10.6
300.0,150.0,120.7,11.8
300.0,200.0,0.0,0.0
300.0,250.0,0.0,0.0
300.0,300.0,0.0,0.0
300.0,400.0,0.0,0.0
300.0,500.0,0.0,0.0
300.0,600.0,0.0,0.0
300.0,700.0,0.0,0.0
300.0,800.0,0.0,0.0
300.0,900.0,0.0,0.0
300.0,1000.0,0.0,0.0
300.0,1200.0,0.0,0.0
300.0,1400.0,0.0,0.0
400.0,60.0,123.1,15.1
400.0,70.0,122.7,15.3
400.0,80.0,121.3,15.5
400.0,90.0,119.7,14.9
400.0,100.0,119.4,13.2
400.0,125.0,121.9,11.7
400.0,150.0,122.9,13.6
400.0,200.0,122.0,14.5
400.0,250.0,121.1,14.0
400.0,300.0,0.0,0.0
400.0,400.0,0.0,0.0
400.0,500.0,0.0,0.0
400.0,600.0,0.0,0.0
400.0,700.0,0.0,0.0
400.0,800.0,0.0,0.0
400.0,900.0,0.0,0.0
400.0,1000.0,0.0,0.0
400.0,1200.0,0.0,0.0
400.0,1400.0,0.0,0.0
500.0,60.0,123.6,16.6
500.0,70.0,123.0,16.8
500.0,80.0,120.7,17.2
500.0,90.0,118.8,16.4
500.0,100.0,118.6,14.3
500.0,125.0,0.0,0.0
500.0,150.0,124.3,15.4
500.0,200.0,123.2,16.3
500.0,250.0,123.0,16.4
500.0,300.0,122.4,16.6
500.0,400.0,0.0,0.0
500.0,500.0,0.0,0.0
500.0,600.0,0.0,0.0
500.0,700.0,0.0,0.0
500.0,800.0,0.0,0.0
500.0,900.0,0.0,0.0
500.0,1000.0,0.0,0.0
500.0,1200.0,0.0,0.0
500.0,1400.0,0.0,0.0
600.0,60.0,123.8,17.0
600.0,70.0,123.2,17.3
600.0,80.0,120.7,17.6
600.0,90.0,118.2,17.0
600.0,100.0,118.2,14.6
600.0,125.0,122.9,12.8
600.0,150.0,125.4,16.3
600.0,200.0,124.0,17.2
600.0,250.0,123.7,17.4
600.0,300.0,123.6,17.8
600.0,400.0,122.8,18.0
600.0,500.0,0.0,0.0
600.0,600.0,0.0,0.0
600.0,700.0,0.0,0.0
600.0,800.0,0.0,0.0
600.0,900.0,0.0,0.0
600.0,1000.0,0.0,0.0
600.0,1200.0,0.0,0.0
